"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"GABA-A receptor; alpha-1/beta-2/gamma-2","N/A","P14867&P47870&P18507","CHEMBL2095172","Ligand-gated ion channel","0.035759236884081114","35 /  7   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","ATP2A1","O14983","CHEMBL3136","Primary active transporter","0.03480189027245825","5 /  4   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.03434159495829789","6704 /  4   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.03379210068311575","928 /  4   "
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.03248752574307124","2756 /  2   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.032056121756649215","1066 /  17   "
"Maltase-glucoamylase","MGAM","O43451","CHEMBL2074","Hydrolase","0.031737355718250156","52 /  6   "
"Glycine receptor subunit alpha-1","GLRA1","P23415","CHEMBL5845","Ligand-gated ion channel","0.030763680009789116","16 /  7   "
"Autotaxin","ENPP2","Q13822","CHEMBL3691","Enzyme","0.030744368639771636","1408 /  15   "
"Thromboxane A2 receptor","TBXA2R","P21731","CHEMBL2069","Family A G protein-coupled receptor","0.030651359770222868","174 /  6   "
"Steroid 17-alpha-hydroxylase/17,20 lyase","CYP17A1","P05093","CHEMBL3522","Cytochrome P450","0.030487171171497723","136 /  35   "
"Zinc finger protein GLI1","GLI1","P08151","CHEMBL5461","Transcription factor","0.029038516834835385","4 /  6   "
"Geranylgeranyl transferase type I","N/A","P49354&P53609","CHEMBL2095164","Transferase","0.028648013112450972","136 /  1   "
"Isoleucine--tRNA ligase, cytoplasmic","IARS1","P41252","CHEMBL3235","Ligase","0.028248975283031517","20 /  1   "
"dCTP pyrophosphatase 1","DCTPP1","Q9H773","CHEMBL3769292","Hydrolase","0.027942191157552355","60 /  1   "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.02736948564968326","258 /  22   "
"Bromodomain-containing protein 3","BRD3","Q15059","CHEMBL1795186","Reader","0.026569065351050487","364 /  9   "
"Beta-glucuronidase","GUSB","P08236","CHEMBL2728","Hydrolase","0.026569065351050487","107 /  1   "
"Motilin receptor","MLNR","O43193","CHEMBL2203","Family A G protein-coupled receptor","0.026478557564870525","45 /  3   "
"Adenosine receptor A3","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.025842215642353884","2663 /  1   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ATP2A2","P16615","CHEMBL3901","Primary active transporter","0.025229376344297096","6 /  3   "
"3',5'-cyclic-AMP phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.02516623489613848","516 /  8   "
"Pyruvate carboxylase, mitochondrial","PC","P11498","CHEMBL5725151","Ligase","0.025112443681342942","1 /  1   "
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.02507157725654264","2094 /  3   "
"Cannabinoid receptor 1","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.02507157725654264","1703 /  3   "
"Liver carboxylesterase 1","CES1","P23141","CHEMBL2265","Hydrolase","0.025007806083790555","73 /  2   "
"Toll-like receptor 4","TLR4","O00206","CHEMBL5255","Toll-like and Il-1 receptors","0.02471594942683806","24 /  8   "
"Proteinase-activated receptor 2","F2RL1","P55085","CHEMBL5963","Family A G protein-coupled receptor","0.024425100744032122","14 /  1   "
"Hypoxia-inducible factor 1-alpha","HIF1A","Q16665","CHEMBL4261","Transcription factor","0.024098091619643904","104 /  3   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.024029837812295438","1190 /  19   "
"Pancreatic alpha-amylase","AMY2A","P04746","CHEMBL2045","Hydrolase","0.02331435327718118","3 /  4   "
"Ubiquitin carboxyl-terminal hydrolase 7","USP7","Q93009","CHEMBL2157850","Protease","0.023183761009404134","306 /  1   "
"Phospholipase A2, membrane associated","PLA2G2A","P14555","CHEMBL3474","Hydrolase","0.022877250737157278","106 /  8   "
"Phospholipase A2","PLA2G1B","P04054","CHEMBL4426","Hydrolase","0.022877250737157278","28 /  4   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.022554974120937567","3287 /  44   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.022554974120937567","2705 /  35   "
"Sucrase-isomaltase, intestinal","SI","P14410","CHEMBL2748","Hydrolase","0.02252688807236378","12 /  6   "
"Kelch-like ECH-associated protein 1","KEAP1","Q14145","CHEMBL2069156","Unclassified protein","0.022521380167389797","114 /  3   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","0.02159474158352469","535 /  19   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.021368408403163494","2436 /  37   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.021300896290565936","128 /  1   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.021296309736066495","2044 /  34   "
"Programmed cell death protein 4","PDCD4","Q53EL6","CHEMBL1781868","Unclassified protein","0.021236448169563073","10 /  8   "
"DNA (cytosine-5)-methyltransferase 3A","DNMT3A","Q9Y6K1","CHEMBL1992","Writer","0.020950322486669382","31 /  1   "
"Histamine H3 receptor","HRH3","Q9Y5N1","CHEMBL264","Family A G protein-coupled receptor","0.020877011270318414","2762 /  1   "
"Substance-K receptor","TACR2","P21452","CHEMBL2327","Family A G protein-coupled receptor","0.020804441619036117","705 /  1   "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.0205506788514369","1736 /  9   "
"Squalene synthase","FDFT1","P37268","CHEMBL3338","Transferase","0.020423210363220225","62 /  30   "
