Gene Symbol
A1ATD
A1BG-AS1
ABCB1
ABCB11
ABCB4
ABCC2
ABCC3
ABCC6
ABCG2
ACTA2-AS1
ACTBL2
ADAMTS14
ADAMTS9-AS2
ADORA2A-AS1
AFAP1-AS1
AFP
AGO2
AIP
AIRN
AKR1B10
AKT1
ALB
ALDH2
ALGS1
ALK
ALKBH3-AS1
ALPS
ANGPT2
ANGPTL8
ANXA2
APC
APOA1
APOBEC1
AR
ARHGAP5-AS1
ARID1A
ARID2
ARMC10
ASAP1-IT1
ASAP3
ASB16-AS1
ASH1LAS1
ASMTL-AS1
ASPH
ASS1
AT
ATM
ATP5ME
AURKA
AURKAP1
AURKB
AXIN1
AXL
B3GALT5-AS1
BACE1-AS
BAIAP2-DT
BAP1
BAX
BBOX1-AS1
BCAR4
BCL2
BCL2L1
BCYRN1
BDCHS
BECN1
BIN1
BIRC2
BIRC5
BLACAT1
BMI1
BRAF
BRCA1
BRCA2
BSG
BSG-AS1
BTBD7
C1QTNF6
C20ORF204
C9ORF78
CACNA1G-AS1
CADM1
CADM1-AS1
CALCA
CAP2
CARMN
CASC11
CASC15
CASC2
CASC8
CASC9
CASP3
CASP8
CASP9
CAV1
CBR1
CBX4
CCAT1
CCAT2
CCDC144NL-AS1
CCDC183-AS1
CCDC196
CCL2
CCNA2
CCNB1
CCND1
CCNG1
CCNL2
CD274
CD44
CD82
CDAA
CDCA3P1
CDH1
CDH13
CDH6
CDIPTOSP
CDK1
CDK12
CDK2
CDK4
CDK6
CDKN1A
CDKN1B
CDKN2A
CDKN2B-AS1
CDKN3
CDNI
CDR1-AS
CEBPA
CEBPA-DT
CERNA3
CERS2
CERS6-AS1
CFAP52
CFLAR
CGAS
CHD1L
CHEK1
CHEK2
CIP2A
CLDN1
CLEC14A
COPB2-DT
CPS1IT1
CRNDE
CRP
CRYL1
CSRNP1
CTBP1-DT
CTLA4
CTNNB1
CXCL12
CXCL8
CXCR4
CYDAER
CYP1A1
CYP1A2
CYP3A4
CYTOR
DANCR
DARS1-AS1
DBH-AS1
DCST1-AS1
DDIT3
DDR2
DDX11-AS1
DEPDC1-AS2
DEPDC5
DERL2
DGCR5
DHRS4-AS1
DIO3OS
DKK1
DKK4
DLC1
DLEU1
DLEU2
DLGAP1-AS1
DLX6-AS1
DNAJB1
DNAJC25
DNAJC3-DT
DNM3OS
DNMT1
DNMT3A
DSCAM-AS1
DSCR8
DUXAP10
DUXAP8
DUXAP9
DYNLRB1
