Gene Symbol,MIM Number,Entrez Gene ID,Full OMIM Title
INSIG2,*608660,51141,INSULIN-INDUCED GENE 2; INSIG2
MTDH,*610323,92140,METADHERIN; MTDH
BTBD7,*610386,55727,BTB/POZ DOMAIN-CONTAINING PROTEIN 7; BTBD7
RNMTL1,*612600,55178,RNA METHYLTRANSFERASE-LIKE 1; RNMTL1
PTEN,*601728,5728,PHOSPHATASE AND TENSIN HOMOLOG; PTEN
CDH6,*603007,1004,CADHERIN 6; CDH6
EPHX1,*132810,2052,"EPOXIDE HYDROLASE 1, MICROSOMAL; EPHX1"
DERL2,*610304,51009,"DER1-LIKE DOMAIN FAMILY, MEMBER 2; DERL2"
LGALS3,*153619,3958,"LECTIN, GALACTOSIDE-BINDING, SOLUBLE, 3; LGALS3"
IL10,*124092,3586,INTERLEUKIN 10; IL10
CERS2,*606920,29956,CERAMIDE SYNTHASE 2; CERS2
A1ATD,#613490,,ALPHA-1-ANTITRYPSIN DEFICIENCY; A1ATD
WFDC1,*605322,58189,WAP 4-DISULFIDE CORE DOMAIN 1; WFDC1
MBD4,*603574,8930,METHYL-CpG-BINDING DOMAIN PROTEIN 4; MBD4
CD82,*600623,3732,CD82 ANTIGEN; CD82
HEPACAM,*611642,220296,HEPATOCYTE CELL ADHESION MOLECULE; HEPACAM
VWCE,*611115,220001,VON WILLEBRAND FACTOR C AND EGF DOMAIN-CONTAINING PROTEIN; VWCE
PFIC1,#211600,,"CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 1; PFIC1"
LAMTOR5,*608521,10542,"LATE ENDOSOMAL/LYSOSOMAL ADAPTOR, MAPK AND MTOR ACTIVATOR 5; LAMTOR5"
ASAP3,*616594,55616,"ARF GTPase-ACTIVATING PROTEIN WITH SH3 DOMAIN, ANKYRIN REPEAT, AND PH DOMAIN 3; ASAP3"
VANGL1,*610132,81839,VANGL PLANAR CELL POLARITY PROTEIN 1; VANGL1
CCNG1,*601578,900,CYCLIN G1; CCNG1
MIR122A,*609582,406906,MICRO RNA 122A; MIR122A
KRT19,*148020,3880,KERATIN 19; KRT19
CSRNP1,*606458,64651,CYSTEINE- AND SERINE-RICH NUCLEAR PROTEIN 1; CSRNP1
PRKACA,*601639,5566,"PROTEIN KINASE, cAMP-DEPENDENT, CATALYTIC, ALPHA; PRKACA"
FOXM1,*602341,2305,FORKHEAD BOX M1; FOXM1
ZG16,*617311,653808,"ZYMOGEN GRANULE PROTEIN, 16-KD; ZG16"
MIRLET7A1,*605386,406881,MICRO RNA LET7A1; MIRLET7A1
ABCB4,*171060,5244,"ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 4; ABCB4"
CADM1,*605686,23705,CELL ADHESION MOLECULE 1; CADM1
IGF2BP2,*608289,10644,INSULIN-LIKE GROWTH FACTOR 2 mRNA-BINDING PROTEIN 2; IGF2BP2
SERPINA11,*619619,256394,"SERPIN FAMILY A, MEMBER 11; SERPINA11"
AIP,#176000,,"PORPHYRIA, ACUTE INTERMITTENT; AIP"
SRS1,#180860,,SILVER-RUSSELL SYNDROME 1; SRS1
CDAA,#603471,,"CITRIN DEFICIENCY, ADOLESCENT OR ADULT ONSET; CDAA"
AT,#208900,,ATAXIA-TELANGIECTASIA; AT
CDNI,#605814,,"CITRIN DEFICIENCY, NEONATAL OR INFANTILE ONSET; CDNI"
NFKB1,*164011,4790,"NUCLEAR FACTOR KAPPA-B, SUBUNIT 1; NFKB1"
LCO,*165320,,LIVER CANCER ONCOGENE; LCO
GPD1,*138420,2819,GLYCEROL-3-PHOSPHATE DEHYDROGENASE 1; GPD1
HLA-DRA,*142860,3122,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR ALPHA; HLA-DRA"
MKI67,*176741,4288,MARKER OF PROLIFERATION KI67; MKI67
TFCP2,*189889,7024,TRANSCRIPTION FACTOR CP2; TFCP2
APOBEC1,*600130,339,"APOLIPOPROTEIN B mRNA-EDITING ENZYME, CATALYTIC POLYPEPTIDE 1; APOBEC1"
MEOX2,*600535,4223,MESENCHYME HOMEOBOX 2; MEOX2
ASPH,*600582,444,ASPARTATE BETA-HYDROXYLASE; ASPH
MSRA,*601250,4482,PEPTIDE METHIONINE SULFOXIDE REDUCTASE; MSRA
ATP5ME,*601519,521,ATP SYNTHASE MEMBRANE SUBUNIT E; ATP5ME
ANGPT2,*601922,285,ANGIOPOIETIN 2; ANGPT2
LIN28B,*611044,389421,LIN28 HOMOLOG B; LIN28B
SCARA5,*611306,286133,"SCAVENGER RECEPTOR CLASS A, MEMBER 5; SCARA5"
HEPN1,*611641,641654,CANCER SUSCEPTIBILITY GENE HEPN1; HEPN1
ARMC10,*611864,83787,ARMADILLO REPEAT-CONTAINING 10; ARMC10
DEPDC5,*614191,9681,DEP DOMAIN-CONTAINING PROTEIN 5; DEPDC5
MIR519D,*614247,574480,MICRO RNA 519D; MIR519D
ACTBL2,*614835,345651,"ACTIN, BETA-LIKE, 2; ACTBL2"
SPRTN,*616086,83932,SprT-LIKE N-TERMINAL DOMAIN PROTEIN; SPRTN
LINC01018,*616385,255167,LONG INTERGENIC NONCODING RNA 1018; LINC01018
IGDCC4,*616810,57722,"IMMUNOGLOBULIN SUPERFAMILY, DCC SUBCLASS, MEMBER 4; IGDCC4"
NCOA5,*616825,57727,NUCLEAR RECEPTOR COACTIVATOR 5; NCOA5
ERGIC3,*616971,51614,ENDOPLASMIC RETICULUM-GOLGI INTERMEDIATE COMPARTMENT PROTEIN 3; ERGIC3
MIR490,*616972,574443,MICRO RNA 490; MIR490
TRIM35,*617007,23087,TRIPARTITE MOTIF-CONTAINING PROTEIN 35; TRIM35
LHPP,*617231,64077,PHOSPHOLYSINE PHOSPHOHISTIDINE INORGANIC PYROPHOSPHATE PHOSPHATASE; LHPP
SACK1D,*618380,81610,SCAFFOLDING CK1-ANCHORING PROTEIN D; SACK1D
CAP2,*618385,10486,CYCLASE-ASSOCIATED ACTIN CYTOSKELETON REGULATORY PROTEIN 2; CAP2
DLC1,*604258,10395,DLC1 RHO GTPase ACTIVATING PROTEIN; DLC1
DNAJB1,*604572,3337,"DNAJ/HSP40 HOMOLOG, SUBFAMILY B, MEMBER 1; DNAJB1"
RBM39,*604739,9584,RNA-BINDING MOTIF PROTEIN 39; RBM39
DKK4,*605417,27121,DICKKOPF WNT SIGNALING PATHWAY INHIBITOR 4; DKK4
DYNLRB1,*607167,83658,"DYNEIN, LIGHT CHAIN, ROADBLOCK TYPE, 1; DYNLRB1"
DYNLRB2,*607168,83657,"DYNEIN, LIGHT CHAIN, ROADBLOCK TYPE, 2; DYNLRB2"
MIR221,*300568,407006,MICRO RNA 221; MIR221
RPL36A,*300902,6173,RIBOSOMAL PROTEIN L36A; RPL36A
SYAP1,*301161,94056,SYNAPSE-ASSOCIATED PROTEIN 1; SYAP1
PRKN,*602544,5071,PARKIN RBR E3 UBIQUITIN PROTEIN LIGASE; PRKN
SDF2L1,*607551,23753,STROMAL CELL-DERIVED FACTOR 2-LIKE 1; SDF2L1
OIT3,*609330,170392,ONCOPROTEIN-INDUCED TRANSCRIPT 3; OIT3
ARID2,*609539,196528,AT-RICH INTERACTION DOMAIN-CONTAINING PROTEIN 2; ARID2
CRYL1,*609877,51084,"CRYSTALLIN, LAMBDA-1; CRYL1"
PIM3,*610580,415116,ONCOGENE PIM3; PIM3
FAH,*613871,2184,FUMARYLACETOACETATE HYDROLASE; FAH
PLPP5,*610626,84513,PHOSPHOLIPID PHOSPHATASE 5; PLPP5
MIR301A,*615675,407027,MICRO RNA 301A; MIR301A
ENDOV,*619821,284131,ENDONUCLEASE V; ENDOV
NAA40,*619999,79829,"N-ALPHA-ACETYLTRANSFERASE 40, NatD CATALYTIC SUBUNIT; NAA40"
LINC00974,*620053,147093,LONG INTERGENIC NONCODING RNA 974; LINC00974
SNHG20,*620555,654434,SMALL NUCLEOLAR RNA HOST GENE 20; SNHG20
TTC36,*620701,143941,TETRATRICOPEPTIDE REPEAT DOMAIN 36; TTC36
SAMD13,*620800,148418,STERILE ALPHA MOTIF DOMAIN-CONTAINING PROTEIN 13; SAMD13
RBM23,*621023,55147,RNA-BINDING MOTIF PROTEIN 23; RBM23
DNAJC25,*621389,548645,"DNAJ HEAT-SHOCK PROTEIN FAMILY (HSP40), MEMBER C25; DNAJC25"
